filename,location,grand_total,atl_total,btl_total,other_total,production_total,post_total
2021+Cable+LA+Amort+9Eps+v07.pdf,Unknown,5580150.0,205355.0,5299516.0,445119.0,4305794.0,548603.0
2021 Multicam S1 Pattern 12Eps v06.pdf,Unknown,1843026.0,711801.0,1061662.0,346128.0,564396.0,151137.0
2021+Cable+LA+Pattern+9Eps+v07.pdf,Unknown,3523527.0,915167.0,2608360.0,649126.0,1681959.0,277275.0
2021 One Hour Pilot+Los Angeles+v03.pdf,Los Angeles,6538083.0,1135983.0,5402100.0,,4407707.0,511609.0
2021 Multicam S1 Amort 12Eps v06.pdf,Unknown,3905017.0,348583.0,3484985.0,563781.0,2438780.0,482423.0
2021 Cable ATL One Hour Pilot v06.pdf,Atlanta,6888984.0,1310878.0,5578106.0,,4569774.0,518202.0
2021 Cable ATL One Hour Pilot v01.pdf,Atlanta,6837464.0,1354006.0,5483458.0,,4539264.0,458509.0
2021 Cable ATL One Hour Pilot v02.pdf,Atlanta,6838368.0,1354311.0,5484056.0,,4539681.0,458647.0
2021 Cable ATL One Hour Pilot v05.pdf,Atlanta,6855358.0,1360787.0,5494571.0,,4547431.0,458647.0
2021 Cable ATL One Hour Pilot v04.pdf,Atlanta,6847509.0,1355858.0,5491651.0,,4547431.0,458647.0
2021 Cable ATL One Hour Pilot v03.pdf,Atlanta,6838368.0,1354311.0,5484056.0,,4539681.0,458647.0
2021 Cable CHA One Hour Pilot v01.pdf,"Charleston, SC",6556360.0,1358022.0,5198338.0,,4275526.0,453762.0
2021 Cable NOLA One-hour Pilot v01.pdf,New Orleans,6805402.0,1362005.0,5443397.0,,4488548.0,458579.0
2021 Cable NOLA One-hour Pilot v02.pdf,New Orleans,6842222.0,1322447.0,5519774.0,,4508079.0,518134.0
2021 Cable CHI One Hour Pilot v01.pdf,Chicago,7242250.0,1381822.0,5860428.0,,4876599.0,469343.0
2021 Cable CHI One Hour Pilot v02.pdf,Chicago,7254968.0,1387451.0,5867517.0,,4880583.0,469343.0
2021 Cable CHI One Hour Pilot v04.pdf,Chicago,7259311.0,1332032.0,5927279.0,,4880583.0,528898.0
2021 Cable CHI One Hour Pilot v03.pdf,Chicago,7257223.0,1330043.0,5927180.0,,4880583.0,528898.0
2021 One Hour Pilot+Los Angeles+v01.pdf,Los Angeles,6491640.0,1180770.0,5310871.0,,4384443.0,452054.0
2021 One Hour Pilot+Los Angeles+v02.pdf,Los Angeles,6513485.0,1182873.0,5330612.0,,4401965.0,452054.0
2021 One Hour Pilot+Los Angeles+v03.pdf,Los Angeles,6538083.0,1135983.0,5402100.0,,4407707.0,511609.0
2021 One Hour Pilot-Portland v01.pdf,Unknown,6978225.0,1361914.0,5616311.0,,4669125.0,458909.0
2021 One Hour Pilot-Portland v02.pdf,Unknown,7003336.0,1310835.0,5692501.0,,4680874.0,518602.0
2021 Cable BOS 1-hour Pilot v01.pdf,Boston,7518662.0,1432491.0,6086171.0,,5103478.0,461348.0
2021 Cable BOS 1-hour Pilot v02.pdf,Boston,7534458.0,1439021.0,6095437.0,,5109492.0,461348.0
2021 Cable VAN One-Hour Pilot v01.pdf,Vancouver,5504809.0,1328512.0,4176296.0,95573.0,3619332.0,461392.0
2021 Cable VAN One-Hour Pilot v02.pdf,Vancouver,5659650.0,1328196.0,4331454.0,187025.0,3691658.0,452771.0
2021 Cable WIL One-Hour Pilot v01.pdf,"Wilmington, NC",6700988.0,1381008.0,5319980.0,,4381048.0,450855.0
2021 Cable WIL One-Hour Pilot v02.pdf,"Wilmington, NC",7193506.0,1380821.0,5812685.0,,4846996.0,450855.0
2021 One Hour Pilot-Santa Fe v01.pdf,Unknown,7031527.0,1379159.0,5652369.0,,4696979.0,458571.0
2021 One Hour Pilot-Santa Fe v02.pdf,Unknown,7079019.0,1336299.0,5742720.0,,4722905.0,518159.0
2021 Cable PIT One-hour Pilot v01.pdf,Pittsburgh,7026918.0,1375005.0,5651913.0,,4690922.0,458381.0
2021 Cable PIT One-hour Pilot v02.pdf,Pittsburgh,7035238.0,1379266.0,5655972.0,,4690929.0,458381.0
